Trial,Value,hidden_features,num_heads,dropout_rate,learning_rate,weight_decay
0,0.030162944458425045,160,6,0.4391121227048317,0.0017975171662165548,0.00087416017336258
1,0.018890550127252936,896,1,0.10425991976670862,0.001521396174251891,0.00020513884783969133
0,0.02862247242592275,896,4,0.24475156231010847,0.000692922333346363,0.0003598794079192074
1,0.02942863292992115,224,2,0.4971135828553674,0.0013833162953274722,0.000657414786938969
0,0.015620406708358047,736,8,0.15808676363112661,0.00456039663780492,6.822578455134611e-05
1,0.021892668191935416,480,3,0.41516382108051275,0.00014710161817658077,4.291023209924756e-05
2,0.018682520662512733,512,1,0.2703274419340004,0.0019668420404693,0.00013919799254545726
3,0.009837342025799172,736,7,0.11670899410320795,0.0003378177176328619,1.8822418882462574e-05
4,0.016772798767365586,416,5,0.07641113684790335,0.0001825887731460661,0.0005352258362371649
5,0.026126049128230487,416,9,0.39818257952140895,0.009815934406990185,0.0002455151197823512
6,0.02447701208989754,576,1,0.42836205017507184,0.004521829524506826,0.00014722715994598334
7,0.024423903759534113,1024,6,0.34163102938740003,0.008451645264513115,0.00014031044387819133
8,0.023817538257653467,768,7,0.3447991455993819,0.00034264840302400753,0.000577786179027997
9,0.025188792340248546,256,6,0.14507590669992765,0.0005207662611763749,0.0007529815252798774
10,0.006008310060704423,32,4,0.023403883479444207,0.0009012928245255857,1.0246319493427314e-05
11,0.005347835974959291,128,4,0.024452085076962605,0.0009873594915248628,1.1731141784080968e-05
12,0.005372991419841196,32,4,0.00011730452832568045,0.0011419537539401109,1.111957569174584e-05
13,0.00588408593854336,32,3,0.011142265169782624,0.0014885629575794013,2.4553786598484966e-05
14,0.015007719432360659,192,3,0.21618464117170155,0.0008883073127473282,1.0085444599134376e-05
15,0.008268521824486065,192,4,0.0535284763707207,0.0017495879558602765,2.3173130816076755e-05
16,0.008337354787982235,288,2,0.09264435080445199,0.002875313195601174,4.095179066122725e-05
17,0.011532339972452583,128,5,0.20420718420643003,0.0005202449126183825,1.6983555412700403e-05
18,0.006600870150271977,320,4,0.0006892934038657649,0.0006449140089728615,4.27710721798798e-05
19,0.025126491194573518,96,2,0.4951328504272065,0.00027355197940096384,1.3999959636538718e-05
20,0.010521728554131271,160,6,0.05508932500483265,0.001217101280312324,8.15635780079182e-05
21,0.007256223907189391,32,3,0.0012205727820341905,0.0014559324637248815,2.9838820960278946e-05
22,0.00858620491975518,32,4,0.04733309966809691,0.0029412635741411053,2.416484051870552e-05
23,0.012542009814947007,96,2,0.1097227195241769,0.0008342593706723026,1.3477029710835817e-05
24,0.00970259018103096,256,5,0.1480864816982309,0.002334631534159063,2.97592960897227e-05
25,0.0079445887104582,352,3,0.04185094298896039,0.0014891149978733971,1.3876539669188924e-05
26,0.007174178283383077,192,5,0.002770818775248731,0.0010750124708416738,1.9793408585347473e-05
27,0.01099852698846398,640,2,0.09086653288792376,0.0006599137747129006,5.8039925420288724e-05
28,0.01745705623353753,32,4,0.25612067328045623,0.003757761314278543,3.242211232597742e-05
29,0.013506540184335732,960,3,0.18190573922167555,0.006028856413664649,1.0417654463243919e-05
30,0.009012789121681006,96,5,0.1270748788692583,0.0023356518513493736,5.779430218097695e-05
31,0.0061935461082748165,32,4,0.03308033747747122,0.0011318056209732997,1.0435382851113514e-05
32,0.008523149877159951,128,3,0.02455590858129977,0.0008811909442053635,1.5425727391140724e-05
33,0.009361906342695807,224,4,0.07481206000487117,0.00010517957325056754,1.1927062876291335e-05
34,0.006510682299593899,64,3,0.025933282910433744,0.0006759184935640779,2.0014459320847618e-05
35,0.013666725438958574,160,1,0.07104253057489085,0.0004252437799994858,1.5950906025648235e-05
36,0.008537832299404056,384,4,0.11100247854295109,0.0014726308262019573,2.2034581040567334e-05
37,0.011341406650423446,96,6,0.02745069735686344,0.0017841029224068292,0.0002882577590232497
38,0.016612615915032748,480,5,0.28859579598267243,0.00021730857503907282,1.2082455779300805e-05
39,0.012206153378378009,128,7,0.17540223951887102,0.001194706361820606,2.7226238084795497e-05
40,0.011232213073662508,864,2,0.07449097570882801,0.0005036508608383228,0.00011230223130807433
41,0.0063089435206395445,32,4,0.023710231362354752,0.001080168437996361,1.107665430651017e-05
42,0.006276688560251599,32,9,0.03775091330315167,0.0007318710352372292,1.6332159603346404e-05
43,0.00844546318245686,64,4,0.014984611269655801,0.002035909955942407,1.0130749051504846e-05
44,0.010884743514601315,576,5,0.09281312119230613,0.0013629278100091113,1.8549494284932803e-05
45,0.006576927687763889,160,8,0.061615740176220846,0.0010606973212650618,1.3479840818105829e-05
46,0.018548038727212175,224,3,0.30332190041416773,0.0009240664109388635,3.723295672952887e-05
47,0.010735965229431602,64,4,0.1281249190963208,0.00037091304284269744,1.2578326902256897e-05
48,0.007953291680559377,288,5,0.04634635230378144,0.0017793940175309681,0.00017256343129160704
49,0.0077069217217302765,160,4,0.09410908309849719,0.00055713848566942,1.0099524485389474e-05
50,0.020473843040031806,96,3,0.38462340327129946,0.003248086783189965,1.77233053878393e-05
51,0.007882544192024202,32,9,0.04060021266356355,0.000748945079225507,1.6064564555412938e-05
52,0.004565333884435697,64,8,0.006158707723512784,0.0008470520036550381,2.1874206372316525e-05
53,0.005249402472731945,128,7,0.0024920442578219805,0.0012662502142056814,2.3890925285279033e-05
54,0.007245132307931085,128,8,0.006048630305111671,0.0021480644395359704,2.5617199475135817e-05
55,0.00713958875841905,224,7,0.0110815380522657,0.0013164958667018641,5.2187337069516586e-05
56,0.008365389555866751,192,8,0.059667258053477654,0.0008205058080399018,2.1445344238456752e-05
57,0.005989001054212312,64,6,2.4035331527474252e-05,0.0015982466376886235,3.691873106493039e-05
58,0.006507245275392154,288,6,0.004099118745089555,0.0015778814428005093,3.756659645217502e-05
59,0.01202797773946947,448,7,0.055444082418417896,0.0026582746483184384,8.037626574389097e-05
60,0.01964058958551037,96,6,0.4676258564974978,0.0017290343291115132,3.212573933962857e-05
61,0.00657654309506032,128,7,0.02670846096074866,0.0009811074611845126,4.705615172237219e-05
62,0.007213009395157901,64,8,0.017041617552336984,0.0012327893436121342,2.5394397706432407e-05
63,0.004597456159644595,96,6,0.0007555025594419096,0.0009818327828143975,1.4599781237698575e-05
64,0.007599843800868665,64,6,0.0007132156031943934,0.0006303020499129955,2.232294186600605e-05
65,0.006580003154263875,160,7,0.0421598950098159,0.0007849757368340886,1.4597871914668713e-05
66,0.005755344279563037,256,8,0.0002453979132834088,0.0015728263708383817,1.8748279057200488e-05
67,0.007164791378706137,224,8,0.06444679392785713,0.0010242951919349468,1.8500361482753787e-05
68,0.006974617615516219,192,9,0.018872031996449098,0.0013229093831459758,2.9553130582789285e-05
69,0.01304282286317549,352,7,0.21915946204974945,0.0005577996715666584,1.3207239475927677e-05
70,0.007363035987679647,672,8,0.04401666953044929,0.0023370957053317747,1.975566941275588e-05
71,0.007704025430378513,96,6,0.002980870579726366,0.0016136797217815872,3.459300935291564e-05
72,0.00649073837481648,64,8,0.029146555631584074,0.0012002153409586714,2.6881859842411117e-05
73,0.005736099621368067,128,7,0.016574939335957987,0.0020023221962403733,2.325399188648299e-05
74,0.008403414647121018,128,7,0.01634921063917333,0.001971456462367913,2.2714044182464673e-05
75,0.008416620239824335,160,9,0.0802007617162234,0.0009270559662057338,1.1696249818118106e-05
76,0.00832705536561313,256,7,0.03734654855212078,0.003674690705995901,1.5070766024827398e-05
77,0.0076589355088561495,96,8,0.01550628747028865,0.0024948395486706085,1.7457420378975603e-05
78,0.014206382785445061,128,7,0.05097205619839392,0.00139485757212731,0.0003880162366274989
79,0.00752883613388115,192,5,0.08522010978015107,0.0019237025090635732,2.009466130256748e-05
80,0.016337764458121542,32,2,0.029523245514560762,0.001137213097706704,0.0009249180041807282
81,0.007666977979765038,64,6,0.0023367695048574764,0.0015989255113830745,2.4877438729919825e-05
82,0.007357755736839548,64,6,0.01943513137883296,0.0014881998846839137,3.014917429599365e-05
83,0.0053541859759835995,96,5,0.013588100088651309,0.0010071910234938175,1.424160558947402e-05
84,0.006758483631588588,160,5,0.05383922418125132,0.0009745670902914994,1.2531009598036312e-05
85,0.008030578067578445,128,5,0.06413289938543654,0.0008734336773266867,1.5669243930326427e-05
86,0.006129309891888471,96,3,0.030949889463931485,0.0006259126389486613,1.3990624799569395e-05
87,0.007591721849846784,32,4,0.012686837466470311,0.0007046049955453724,1.1662609486375087e-05
88,0.006285702126431409,192,3,0.03548901251865433,0.000456029420973725,1.718751012063579e-05
89,0.008923540179069354,256,8,0.10419207696639957,0.0012420060271259893,2.1142474067215586e-05
90,0.014866669488217786,96,4,0.3421886806518042,0.0010832588896490048,1.1237090274149744e-05
91,0.006134202873560591,64,6,0.013167135686757163,0.0021671633687854745,2.4038331649800507e-05
92,0.004785119782193242,128,7,0.0003296293441897268,0.001697210825268897,4.0675882978651654e-05
93,0.00674960055936859,128,7,0.04587979959891451,0.0018361416237994066,1.8108257257849477e-05
94,0.008543986331009976,160,7,0.023748027651627087,0.0013609578570694838,4.195816408357012e-05
